INFO  - 2018-06-22 22:44:04.595; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans
INFO  - 2018-06-22 22:44:04.655; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-22 22:44:19.030; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdl
INFO  - 2018-06-22 22:44:19.096; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-23 01:42:31.421; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdl
INFO  - 2018-06-23 01:42:31.465; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-25 10:38:36.588; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdl
INFO  - 2018-06-25 10:38:36.638; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-25 10:56:50.216; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans?wsdl
INFO  - 2018-06-25 10:56:50.263; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-26 10:09:59.549; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans
INFO  - 2018-06-26 10:09:59.625; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-26 21:34:27.690; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans
INFO  - 2018-06-26 21:34:27.772; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-26 21:39:09.287; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans
INFO  - 2018-06-26 21:39:09.555; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-26 21:53:31.890; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans
INFO  - 2018-06-26 21:53:31.948; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-26 21:53:40.394; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans
INFO  - 2018-06-26 21:53:40.461; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@1e80bfe8
INFO  - 2018-06-28 12:48:44.846; payhost.SOAPClient; SOAPAction : https://secure.paygate.co.za/payhost/process.trans
INFO  - 2018-06-28 12:48:44.926; payhost.SOAPClient; Request SOAP Message :com.sun.xml.internal.messaging.saaj.soap.ver1_1.Message1_1Impl@300ffa5d
